OBJECTID,ID,Name___Nom,Latitude,Longitude,Prov_Terr,Timezone___Fuseau_horaire,HydroID2,NEAR_FID,NEAR_DIST
1,02AB006,KAMINISTIQUIA RIVER AT KAMINISTIQUIA,48.532780000000002,-89.594170000000005,ON,UTC-05:00,41041618,41624,0.000000000464077
2,02AB008,NEEBING RIVER NEAR THUNDER BAY,48.382219999999997,-89.307779999999994,ON,UTC-05:00,41042491,42497,0.000000000244068
3,02AB014,NORTH CURRENT RIVER NEAR THUNDER BAY,48.501109999999997,-89.179730000000006,ON,UTC-05:00,41041874,41880,0.000000003319852
4,02AB017,WHITEFISH RIVER AT NOLALU,48.291670000000003,-89.809169999999995,ON,UTC-05:00,41042987,42993,0.000000000116570
5,02AB019,MCVICAR CREEK AT THUNDER BAY,48.449440000000003,-89.219170000000005,ON,UTC-05:00,41042193,42199,0.000000000066013
6,02AB020,MCINTYRE RIVER ABOVE THUNDER BAY,48.482500000000002,-89.325280000000006,ON,UTC-05:00,41041994,42000,0.000000000435397
7,02AB021,CURRENT RIVER AT STEPSTONE,48.562500000000000,-89.240840000000006,ON,UTC-05:00,41041500,41506,0.000000000161894
8,02AB022,CORBETT CREEK NEAR MURILLO,48.429160000000003,-89.545000000000002,ON,UTC-05:00,41042212,42218,0.000000000175360
9,02AB023,SLATE RIVER NEAR THUNDER BAY,48.324750000000002,-89.404859999999999,ON,UTC-05:00,41042800,42806,0.000000000365750
10,02AB024,NEEBING RIVER NEAR INTOLA,48.443559999999998,-89.358559999999997,ON,UTC-05:00,41042197,42203,0.000000002545407
11,02AB025,KAMINISTIQUIA RIVER AT WEST FORT WILLIAM,48.347861999999999,-89.353279000000001,ON,UTC-05:00,41042748,42754,0.000000000698628
12,02AB026,KAMINISTIQUIA RIVER ABOVE WEST FORT WILLIAM,48.345531000000001,-89.386780000000002,ON,UTC-05:00,41042715,42721,0.000000000237559
13,02AC001,WOLF RIVER AT HIGHWAY NO. 17,48.821950000000001,-88.535280000000000,ON,UTC-05:00,41040015,40021,0.000000000529449
14,02AC002,BLACK STURGEON RIVER AT HIGHWAY NO. 17,48.903610000000000,-88.377219999999994,ON,UTC-05:00,41039385,39391,0.000000000144285
15,02AD010,BLACKWATER RIVER AT BEARDMORE,49.602780000000003,-87.963890000000006,ON,UTC-05:00,41034617,34623,0.000000000190115
16,02AD012,NIPIGON RIVER BELOW ALEXANDER GENERATING STATION,49.123750000000001,-88.358277999999999,ON,UTC-05:00,41037694,37700,0.000000000116139
17,02AE001,GRAVEL RIVER NEAR CAVERS,48.926000000000002,-87.690190000000001,ON,UTC-05:00,41039416,39422,0.000000002921137
18,02BA003,LITTLE PIC RIVER NEAR COLDWELL,48.849170000000001,-86.607219999999998,ON,UTC-05:00,41040077,40083,0.000000000221626
19,02BA005,WHITESAND RIVER ABOVE SCHREIBER AT MINOVA MINE,48.978110000000001,-87.376779999999997,ON,UTC-05:00,41039144,39150,0.000000002339008
20,02BA006,STEEL RIVER BELOW SANTOY LAKE,48.814450000000001,-86.859440000000006,ON,UTC-05:00,41040589,40595,0.000000000187670
21,02BB003,PIC RIVER NEAR MARATHON,48.773890000000002,-86.296940000000006,ON,UTC-05:00,41040675,40681,0.000000004859485
22,02BB004,CEDAR CREEK NEAR HEMLO,48.707500000000003,-85.910839999999993,ON,UTC-05:00,41041144,41150,0.000000000391943
23,02BC004,WHITE RIVER BELOW WHITE LAKE,48.655279999999998,-85.742230000000006,ON,UTC-05:00,41041470,41476,0.000000004898968
24,02BC006,PUKASKWA RIVER BELOW FOX RIVER,48.160280000000000,-85.730528000000007,ON,UTC-05:00,41044019,44025,0.000000000463279
27,02BD006,WAWA CREEK AT WAWA,47.989440000000002,-84.767830000000004,ON,UTC-05:00,41044694,44700,0.000000000301728
28,02BD007,MAGPIE RIVER NEAR WAWA,48.021999999999998,-84.813170000000000,ON,UTC-05:00,41044540,44546,0.000000000427911
29,02BF001,BATCHAWANA RIVER NEAR BATCHAWANA,47.003610000000002,-84.515559999999994,ON,UTC-05:00,41047018,47024,0.000000001993411
30,02BF002,GOULAIS RIVER NEAR SEARCHMONT,46.860830000000000,-83.971940000000004,ON,UTC-05:00,41047141,47147,0.000000000274985
31,02BF004,BIG CARP RIVER NEAR SAULT STE. MARIE,46.515830000000001,-84.465000000000003,ON,UTC-05:00,41047344,47350,0.000000000134143
32,02BF014,GOULAIS RIVER NEAR KIRBY'S CORNER,46.717469999999999,-84.284610000000001,ON,UTC-05:00,41047281,47287,0.000000000627557
33,02CA002,ROOT RIVER AT SAULT STE. MARIE,46.562779999999997,-84.281940000000006,ON,UTC-05:00,41011500,11505,0.000000000257833
35,02CA007,THESSALON RIVER NEAR POPLAR DALE,46.530389999999997,-83.709580000000003,ON,UTC-05:00,41011995,12000,0.000000000059924
36,02CB003,AUBINADONG RIVER ABOVE SESABIC CREEK,46.968330000000002,-83.416939999999997,ON,UTC-05:00,41008367,8372,0.000000000079675
37,02CC005,LITTLE WHITE RIVER NEAR BELLINGHAM,46.391669999999998,-83.281670000000005,ON,UTC-05:00,41012842,12847,0.000000002817825
38,02CC010,LITTLE WHITE RIVER BELOW BOLAND RIVER,46.581110000000002,-82.967780000000005,ON,UTC-05:00,41011377,11382,0.000000012049102
39,02CD001,SERPENT RIVER AT HIGHWAY NO. 17,46.210780000000000,-82.512420000000006,ON,UTC-05:00,41014103,14108,0.000000000158543
