gage,gagedFlowline,NHDWaterbodyComID,lakeLink,SiteName,RFC
SOMT2,5570785,5569731,0,Somerville Lake,WGRFC
SMCT2,3589578,3588682,3589578, ,WGRFC
GGLT2,5671667,5670445,5671667, ,WGRFC
BLNT2,2572334,2571688,2572334,Belton Lake at North Texas Lakes,WGRFC
STIT2,5587560,120053388,5587560, ,WGRFC
GNGT2,5671657,5670421,5671657, ,WGRFC
TBLT2,1111447,1111211,1111447, ,WGRFC
WDRF1,2293124,10361596,2311949, ,SERFC
FOGG1,2306737,166758723,3443790, ,SERFC
CLBA1,18239649,21638156,18239647,Claiborne Dam near Alabama River,SERFC
BDWT2,1447048,1445978,1447048, ,WGRFC
DAWT2,4133643,4132531,4133643,Navarro Mills Lake at North Texas Lakes,WGRFC
ALAT2,166414852,166414857,166414852, ,WGRFC
PCTT2,2569848,120053201,2569848,Proctor Lake at North Texas Lakes,WGRFC
SAGT2,5712857,120053389,0,O. C. Fisher Lake at West Central Texas Lakes,WGRFC
SVIC1,20334576,20334374,20334576, ,CNRFC
GCDA3,21274156,21318615,21320525,GILA RIVER BELOW COOLIDGE DAM AZ.,CBRFC
BNBT2,1269108,1267968,1269108, ,WGRFC
LEWT2,1278674,120053021,1278674,Lake Lewisville at North Texas Lakes,WGRFC
GPVT2,1287177,120051934,1287177,Lake Grapevine at North Texas Lakes,WGRFC
WETG1,3298918,166758703,3298566, ,SERFC
CHDS1,22720895,167484077,6290331, ,SERFC
CMMG1,2051313,6495106,2051313,Lake Lanier at Chattahoochee River,SERFC
CVLG1,6505972,6495140,6505972, ,SERFC
GRNM6,18019788,18014672,18019788,Grenada Dam at Yalobusha River,LMRFC
MYST2,8348979,8347705,8348979,Pat Mayse Lake at North Texas Lakes,ABRFC
MGCO2,707038,167484743,0,"McGee Creek Reservoir, OK",ABRFC
DSNT2,426416,167300255,426416, ,ABRFC
ARBO2,19959560,167300271,19959986, ,ABRFC
SYOT2,13733430,13732800,13733430,WICHITA RV NR MABELLE TX,ABRFC
LYMA3,20585864,20584396,20585864, ,CBRFC
SMDA3,20478096,20476542,0,SALT RIVER BLW STEWART MOUNTAIN DAM AZ.,CBRFC
VDBA3,20439512,20438850,0,Bartlett Dam,CBRFC
HORA3,20440738,120053952,20440738, ,CBRFC
BWAA3,21384136,21383092,21384184, ,CBRFC
LKPC1,17575779,17573833,17575779,Santa Felicia Dam below Piru Creek,CNRFC
CCHC1,17611491,17609317,17611491, ,CNRFC
PYMC1,17569485,17568947,17572445, ,CNRFC
CBDN2,21436863,120052757,21436857, ,CBRFC
ALTO2,13757101,13756271,13757101, ,ABRFC
FOSO2,3142766,3140356,3142766,Foss Reservoir at Washita River,ABRFC
MTNO2,562357,167300241,562485, ,ABRFC
FTCO2,683617,681831,683617, ,ABRFC
NRMO2,481932,481656,0,Little River At Lake Thunderbird,ABRFC
TENO2,402464,402142,402464, ,ABRFC
CTRG1,6479573,6479321,6479573,Carters Lake at Coosawattee River,SERFC
KERV2,8653306,167496465,8653306,John H. Kerr Dam at Roanoke River,SERFC
NUDN7,166737579,166737717,166737584, ,SERFC
NHPN7,26325148,166755060,8898132, ,SERFC
WLKN7,9251746,9250140,9251746, ,SERFC
WTGT1,19744394,166997499,19745278, ,LMRFC
NFDA4,7653861,120052259,7653895, ,LMRFC
PENO2,21773239,167299912,7586119, ,ABRFC
MFDO2,21773255,21772239,21773125,Hudson Lake at Eastern Oklahoma Lakes,ABRFC
CNLO2,390140,389804,390140,Canton Lake above North Canadian River,ABRFC
NACC1,8212787,8210941,0, other Nacimiento Reservoir,CNRFC
SNRC1,8212925,120053442,8212925,SAN ANTONIO RIVER - LAKE SAN ANTONIO,CNRFC
LEXC1,17695749,17693799,0,LEXINGTON RESERVOIR NEAR LOS GATOS,CNRFC
COYC1,17695825,17693823,17695825,Coyote Reservoir (COYC1),CNRFC
FRAC1,17116483,120053836,0,SAN JOAQUIN RIVER NEAR FRIANT,CNRFC
GUUU1,10025198,10022260,10025198,GUNLOCK RESERVOIR,CBRFC
CHNK1,21160795,21160241,21161233, ,ABRFC
STXM7,7372051,167267899,7373063,Stockton Dam at Sac River,MBRFC
WPPM7,3665570,167166315,0,Wappapello Lake Pool at St. Francis River,LMRFC
PTTV2,8674429,8674019,8675539, ,SERFC
JCKV2,8521381,120053459,8523459,Gathright Dam at Lake Moomaw,MARFC
PTXM7,7388811,7387259,7388811, ,MBRFC
HILK1,2993926,2992128,2993756, ,MBRFC
PLKK1,940290180,10114004,940290180,Pomona Lake at 110 Mile Creek,MBRFC
MLVK1,10132098,167267891,10132098,Melvern Lake at Marais Des Cygnes River,MBRFC
JRLK1,20932366,167297255,20932366,John Redmond Lake at Neosho River,ABRFC
JSPT2,1159739,1158647,1159739,Lake Sam Rayburn at Angelina River,WGRFC
BKDL1,25040602,15078462,25040602, ,LMRFC
TYLA1,21687508,120052975,21687488, ,SERFC
MRFA1,21456722,21454020,21456716,Miller's Ferry near Alabama River,SERFC
LBUL1,19936525,120053896,19936525,Lake Bistineau at Bayou Dorcheat,LMRFC
WAGL1,8342801,8341399,0,WALLACE LAKE NEAR KEITHVILLE,LMRFC
ACTT2,5531594,5531274,5531594,Waco Lake at North Texas Lakes,WGRFC
WTYT2,5513692,120053204,5513692,Whitney Lake at North Texas Lakes,WGRFC
HAWC1,20344395,20342929,20344473,Lake Henshaw,CNRFC
ELPC1,20332816,20332350,20334592,EL CAPITAN DAM,CNRFC
LVNT2,1292396,1291638,1292396, ,WGRFC
CRLL1,1136266,167300374,1136426, ,LMRFC
BCEA4,19927057,19925795,19927057, ,LMRFC
LCAL1,15223102,167182354,15223102, ,LMRFC
HRTG1,6270218,166759840,6270218, ,SERFC
UBRA1,19569560,19568056,0,UPPER BEAR DAM NEAR BEAR CREEK,LMRFC
LBRA1,19568264,19626258,0,LITTLE BEAR RTU NEAR BELGREEN,LMRFC
CCRA1,19566578,19566308,19566880,CEDAR CREEK RTU,LMRFC
SRDM6,15290344,167182317,15290596,Tallahatchie River at Sardis Dam,LMRFC
ENDM6,15276792,167166404,15276792, ,LMRFC
DGDA4,22002032,22000120,22002032, ,LMRFC
NADA4,22700300,22697680,22700420, ,LMRFC
AHDA4,3747834,167300345,0,LITTLE RIVER AT MILLWOOD DAM NEAR ASHDOWN,ABRFC
DIEA4,3746252,3745478,0,SALINE RIVER AT DAM NEAR DIERKS,ABRFC
DQDA4,3745840,3745526,0,ROLLING FORK RIVER AT DAM NEAR DEQUEEN,ABRFC
GLLA4,3746224,3745418,0,COSSATOT RIVER AT GILLHAM DAM NEAR GILLHAM,ABRFC
BKDO2,630139,630011,0,MOUNTAIN FORK RIVER AT BROKEN BOW DAM NEAR BROKEN BOW,ABRFC
PCLO2,617464,617546,0,LITTLE RIVER AT PINE CREEK DAM NEAR WRIGHT CITY,ABRFC
HGLO2,592836,591880,592836,Hugo Lake at Eastern Oklahoma Lakes,ABRFC
WRLO2,8358571,8357843,8358571,Waurika Lake at Beaver Creek (OK),ABRFC
RSVA3,22439652,120052904,22439652, ,CBRFC
EUFO2,512899,167801019,512899, ,ABRFC
WSLO2,6047652,6043008,6047652,Wister Lake at Eastern Oklahoma Lakes,ABRFC
BMTA4,7803227,7801259,7803225, ,ABRFC
BMDA4,15234506,15231972,15234506, ,LMRFC
GRRA4,11774999,167299819,11774971,Greers Ferry Dam at Little Red River,LMRFC
ARKM6,15256122,15252778,15256386, ,LMRFC
NRMT1,19534722,166997625,19534808, ,LMRFC
OCCT1,19668053,19667261,19668053, ,LMRFC
HADT1,19678313,19674973,19678329,Apalachia Dam above Hiwassee River,LMRFC
BRDG1,19669385,19668381,19669385,Toccoa River at Blue Ridge Dam,LMRFC
NOTG1,19680543,166997585,19680543, ,LMRFC
FONN7,19736617,166912876,19736617,FONTANA DAM TVA at Little Tennessee River,LMRFC
CHAN7,19674637,166997584,0,Chatuge Dam,LMRFC
SHDT1,19753533,166997474,0,South Holston Dam,LMRFC
FPHT1,19754649,166997475,19754649, ,LMRFC
CRKT1,22180610,166997501,22180610,Cherokee Dam above Holston River,LMRFC
DUGT1,22144632,166997463,22146716, ,LMRFC
NRST1,22124294,166997561,14643271, ,LMRFC
BSGA4,7629426,167299818,7637444, ,LMRFC
GIBO2,21773859,167299918,21773859,Eastern Oklahoma Lakes at Ft. Gibson Lake,ABRFC
OOLO2,21799057,167299904,21799057, ,ABRFC
KEYO2,20973380,20971700,20973380, ,ABRFC
BIRO2,846662,846266,846662, ,ABRFC
SKLO2,941070050,941070128,941070050, ,ABRFC
