Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m
0,2015-10-01 00:00:00,0.000000000,0.881287270,0.085039292
1,2015-10-01 01:00:00,0.000000000,0.881287270,0.085039292
2,2015-10-01 02:00:00,0.000000000,0.881287270,0.085039292
3,2015-10-01 03:00:00,0.000000000,0.881287270,0.085039292
4,2015-10-01 04:00:00,0.000000000,0.881287270,0.085039292
5,2015-10-01 05:00:00,0.000000000,0.881287270,0.085039292
6,2015-10-01 06:00:00,0.000000000,0.881287270,0.085039292
7,2015-10-01 07:00:00,0.000000000,0.881287270,0.085039292
8,2015-10-01 08:00:00,0.000000000,0.881287270,0.085039292
9,2015-10-01 09:00:00,0.000000000,0.881287270,0.085039292
10,2015-10-01 10:00:00,0.000000000,0.881287270,0.085039292
11,2015-10-01 11:00:00,0.000000000,0.881287270,0.085039292
12,2015-10-01 12:00:00,0.000000000,0.881287270,0.085039292
13,2015-10-01 13:00:00,0.000000000,0.881287270,0.085039292
14,2015-10-01 14:00:00,0.000000000,0.881287270,0.085039292
15,2015-10-01 15:00:00,0.000000000,0.881287270,0.085039292
16,2015-10-01 16:00:00,0.000000000,0.881287270,0.085039292
17,2015-10-01 17:00:00,0.000000000,0.881287270,0.085039292
18,2015-10-01 18:00:00,0.000000000,0.881287270,0.085039292
19,2015-10-01 19:00:00,0.000000000,0.881287270,0.085039292
20,2015-10-01 20:00:00,0.000000000,0.881287270,0.085039292
21,2015-10-01 21:00:00,0.000000000,0.881287270,0.085039292
22,2015-10-01 22:00:00,0.000000000,0.881287270,0.085039292
23,2015-10-01 23:00:00,0.000000000,0.879604240,0.085052070
24,2015-10-02 00:00:00,0.000000000,0.879604240,0.085052070
25,2015-10-02 01:00:00,0.000000000,0.879604240,0.085052070
26,2015-10-02 02:00:00,0.000000000,0.865301805,0.085162978
27,2015-10-02 03:00:00,0.000000000,0.859210651,0.085211512
28,2015-10-02 04:00:00,0.000000000,0.857966665,0.085221523
29,2015-10-02 05:00:00,0.000000000,0.857966665,0.085221523
30,2015-10-02 06:00:00,0.000000000,0.856706623,0.085231697
31,2015-10-02 07:00:00,0.000000000,0.855706315,0.085239798
32,2015-10-02 08:00:00,0.000000000,0.855706315,0.085239798
33,2015-10-02 09:00:00,0.000000000,0.855706315,0.085239798
34,2015-10-02 10:00:00,0.000000000,0.855706315,0.085239798
35,2015-10-02 11:00:00,0.000000000,0.855706315,0.085239798
36,2015-10-02 12:00:00,0.000000000,0.855706315,0.085239798
37,2015-10-02 13:00:00,0.000000000,0.855706315,0.085239798
38,2015-10-02 14:00:00,0.000000000,0.855706315,0.085239798
39,2015-10-02 15:00:00,0.000000000,0.855706315,0.085239798
40,2015-10-02 16:00:00,0.000000000,0.845868328,0.085320666
41,2015-10-02 17:00:00,0.000000000,0.832353024,0.085435399
42,2015-10-02 18:00:00,0.000000000,0.823596408,0.085512085
43,2015-10-02 19:00:00,0.000000000,0.815620700,0.085583611
44,2015-10-02 20:00:00,0.000000000,0.792008048,0.085805318
45,2015-10-02 21:00:00,0.000000000,0.784865422,0.085875484
46,2015-10-02 22:00:00,0.000000000,0.782394298,0.085900111
47,2015-10-02 23:00:00,0.000000000,0.779853339,0.085925627
48,2015-10-03 00:00:00,0.000000000,0.777752432,0.085946873
49,2015-10-03 01:00:00,0.000000000,0.773616623,0.085989096
50,2015-10-03 02:00:00,0.000000000,0.773510103,0.085990190
51,2015-10-03 03:00:00,0.000000000,0.772060331,0.086005123
52,2015-10-03 04:00:00,0.000000000,0.772060331,0.086005123
53,2015-10-03 05:00:00,0.000000000,0.770798285,0.086018176
54,2015-10-03 06:00:00,0.000000000,0.770798285,0.086018176
55,2015-10-03 07:00:00,0.000000000,0.770798285,0.086018176
56,2015-10-03 08:00:00,0.000000000,0.770094297,0.086025480
57,2015-10-03 09:00:00,0.000000000,0.769139350,0.086035412
58,2015-10-03 10:00:00,0.000000000,0.769139350,0.086035412
59,2015-10-03 11:00:00,0.000000000,0.764316059,0.086086028
60,2015-10-03 12:00:00,0.000000000,0.762522012,0.086105049
61,2015-10-03 13:00:00,0.000000000,0.761279920,0.086118280
62,2015-10-03 14:00:00,0.000000000,0.760185460,0.086129981
63,2015-10-03 15:00:00,0.000000000,0.759319455,0.086139269
64,2015-10-03 16:00:00,0.000000000,0.759319455,0.086139269
65,2015-10-03 17:00:00,0.000000000,0.759319455,0.086139269
66,2015-10-03 18:00:00,0.000000000,0.759319455,0.086139269
67,2015-10-03 19:00:00,0.000000000,0.759319455,0.086139269
68,2015-10-03 20:00:00,0.000000000,0.759319455,0.086139269
69,2015-10-03 21:00:00,0.000000000,0.759319455,0.086139269
70,2015-10-03 22:00:00,0.000000000,0.759319455,0.086139269
71,2015-10-03 23:00:00,0.000000000,0.759319455,0.086139269
72,2015-10-04 00:00:00,0.000000000,0.759319455,0.086139269
73,2015-10-04 01:00:00,0.000000000,0.759319455,0.086139269
74,2015-10-04 02:00:00,0.000000000,0.759319455,0.086139269
75,2015-10-04 03:00:00,0.000000000,0.759319455,0.086139269
76,2015-10-04 04:00:00,0.000000000,0.759319455,0.086139269
77,2015-10-04 05:00:00,0.000000000,0.759319455,0.086139269
78,2015-10-04 06:00:00,0.000000000,0.759319455,0.086139269
79,2015-10-04 07:00:00,0.000000000,0.759319455,0.086139269
80,2015-10-04 08:00:00,0.000000000,0.759319455,0.086139269
81,2015-10-04 09:00:00,0.000000000,0.759319455,0.086139269
82,2015-10-04 10:00:00,0.000000000,0.759319455,0.086139269
83,2015-10-04 11:00:00,0.000000000,0.759319455,0.086139269
84,2015-10-04 12:00:00,0.000000000,0.759319455,0.086139269
85,2015-10-04 13:00:00,0.000000000,0.759319455,0.086139269
86,2015-10-04 14:00:00,0.000000000,0.759319455,0.086139269
87,2015-10-04 15:00:00,0.000000000,0.759319455,0.086139269
88,2015-10-04 16:00:00,0.000000000,0.759319455,0.086139269
89,2015-10-04 17:00:00,0.000000000,0.759319455,0.086139269
90,2015-10-04 18:00:00,0.000000000,0.759319455,0.086139269
91,2015-10-04 19:00:00,0.000000000,0.759319455,0.086139269
92,2015-10-04 20:00:00,0.000000000,0.759319455,0.086139269
93,2015-10-04 21:00:00,0.000000000,0.759319455,0.086139269
94,2015-10-04 22:00:00,0.000000000,0.759319455,0.086139269
95,2015-10-04 23:00:00,0.000000000,0.759319455,0.086139269
96,2015-10-05 00:00:00,0.000000000,0.759319455,0.086139269
97,2015-10-05 01:00:00,0.000000000,0.759319455,0.086139269
98,2015-10-05 02:00:00,0.000000000,0.759319455,0.086139269
99,2015-10-05 03:00:00,0.000000000,0.759319455,0.086139269
100,2015-10-05 04:00:00,0.000000000,0.759319455,0.086139269
101,2015-10-05 05:00:00,0.000000000,0.759319455,0.086139269
102,2015-10-05 06:00:00,0.000000000,0.759319455,0.086139269
103,2015-10-05 07:00:00,0.000000000,0.759319455,0.086139269
104,2015-10-05 08:00:00,0.000000000,0.759319455,0.086139269
105,2015-10-05 09:00:00,0.000000000,0.759319455,0.086139269
106,2015-10-05 10:00:00,0.000000000,0.759319455,0.086139269
107,2015-10-05 11:00:00,0.000000000,0.759319455,0.086139269
108,2015-10-05 12:00:00,0.000000000,0.759319455,0.086139269
109,2015-10-05 13:00:00,0.000000000,0.759319455,0.086139269
110,2015-10-05 14:00:00,0.000000000,0.759319455,0.086139269
111,2015-10-05 15:00:00,0.000000000,0.759319455,0.086139269
112,2015-10-05 16:00:00,0.000000000,0.759319455,0.086139269
113,2015-10-05 17:00:00,0.000000000,0.759319455,0.086139269
114,2015-10-05 18:00:00,0.000000000,0.759319455,0.086139269
115,2015-10-05 19:00:00,0.000000000,0.759319455,0.086139269
116,2015-10-05 20:00:00,0.000000000,0.759319455,0.086139269
117,2015-10-05 21:00:00,0.000000000,0.759319455,0.086139269
118,2015-10-05 22:00:00,0.000000000,0.759319455,0.086139269
119,2015-10-05 23:00:00,0.000000000,0.759319455,0.086139269
120,2015-10-06 00:00:00,0.000000000,0.759319455,0.086139269
121,2015-10-06 01:00:00,0.000000000,0.759319455,0.086139269
122,2015-10-06 02:00:00,0.000000000,0.759319455,0.086139269
123,2015-10-06 03:00:00,0.000000000,0.759319455,0.086139269
124,2015-10-06 04:00:00,0.000000000,0.759319455,0.086139269
125,2015-10-06 05:00:00,0.000000000,0.759319455,0.086139269
126,2015-10-06 06:00:00,0.000000000,0.759319455,0.086139269
127,2015-10-06 07:00:00,0.000000000,0.759319455,0.086139269
128,2015-10-06 08:00:00,0.000000000,0.759319455,0.086139269
129,2015-10-06 09:00:00,0.000000000,0.759319455,0.086139269
130,2015-10-06 10:00:00,0.000000000,0.759319455,0.086139269
131,2015-10-06 11:00:00,0.000000000,0.759319455,0.086139269
132,2015-10-06 12:00:00,0.000000000,0.759319455,0.086139269
133,2015-10-06 13:00:00,0.000000000,0.759319455,0.086139269
134,2015-10-06 14:00:00,0.000000000,0.759319455,0.086139269
135,2015-10-06 15:00:00,0.000000000,0.759319455,0.086139269
136,2015-10-06 16:00:00,0.000000000,0.759319455,0.086139269
137,2015-10-06 17:00:00,0.000000000,0.759319455,0.086139269
138,2015-10-06 18:00:00,0.000000000,0.759319455,0.086139269
139,2015-10-06 19:00:00,0.000000000,0.759319455,0.086139269
140,2015-10-06 20:00:00,0.000000000,0.759319455,0.086139269
141,2015-10-06 21:00:00,0.000000000,0.759319455,0.086139269
142,2015-10-06 22:00:00,0.000000000,0.759319455,0.086139269
143,2015-10-06 23:00:00,0.000000000,0.759319455,0.086139269
144,2015-10-07 00:00:00,0.000000000,0.759319455,0.086139269
145,2015-10-07 01:00:00,0.000000000,0.759319455,0.086139269
146,2015-10-07 02:00:00,0.000000000,0.759319455,0.086139269
147,2015-10-07 03:00:00,0.000000000,0.759319455,0.086139269
148,2015-10-07 04:00:00,0.000000000,0.759319455,0.086139269
149,2015-10-07 05:00:00,0.000000000,0.759319455,0.086139269
150,2015-10-07 06:00:00,0.000000000,0.759319455,0.086139269
151,2015-10-07 07:00:00,0.000000000,0.759319455,0.086139269
152,2015-10-07 08:00:00,0.000000000,0.759319455,0.086139269
153,2015-10-07 09:00:00,0.000000000,0.759319455,0.086139269
154,2015-10-07 10:00:00,0.000000000,0.759319455,0.086139269
155,2015-10-07 11:00:00,0.000000000,0.759319455,0.086139269
156,2015-10-07 12:00:00,0.000000000,0.759319455,0.086139269
157,2015-10-07 13:00:00,0.000000000,0.759319455,0.086139269
158,2015-10-07 14:00:00,0.000000000,0.759319455,0.086139269
159,2015-10-07 15:00:00,0.000000000,0.759319455,0.086139269
160,2015-10-07 16:00:00,0.000000000,0.759319455,0.086139269
161,2015-10-07 17:00:00,0.000000000,0.759319455,0.086139269
162,2015-10-07 18:00:00,0.000000000,0.759319455,0.086139269
163,2015-10-07 19:00:00,0.000000000,0.759319455,0.086139269
