Time Step,Time,precip_scf,SWE_mm,snowh,raim,sm_frac_0_4m,sm_profile_0_1m
0,2016-12-01 00:00:00,inf,0.1,0.0,0.0,0.0880476921292182,0.18085487612817397
1,2016-12-01 01:00:00,inf,0.2,0.0,0.0,0.0348150307780188,0.5723836309395903
2,2016-12-01 02:00:00,inf,0.3,0.0,0.0,0.0660622755663615,0.7840656486978865
3,2016-12-01 03:00:00,inf,0.2,0.0,0.0,0.1012453864625521,0.15932444101648402
4,2016-12-01 04:00:00,inf,0.1,0.0,0.0,0.1324303166906961,0.5769126254129331
5,2016-12-01 05:00:00,inf,0.5,0.0,0.0,0.1755845824369628,0.9626817052763408
6,2016-12-01 06:00:00,inf,95.0,0.0,0.0,0.0058347108164618,0.015011227418620265
7,2016-12-01 07:00:00,inf,0.2,0.0,0.0,0.1361335071667201,0.7846267659831188
8,2016-12-01 08:00:00,inf,0.1,0.0,0.0,0.1011658603858132,0.05537549149043608
9,2016-12-01 09:00:00,inf,0.2,0.0,0.0,0.0562526264544295,0.025117994606969396
10,2016-12-01 10:00:00,inf,0.3,0.0,0.0,0.0908351793190693,0.4215903734358355
11,2016-12-01 11:00:00,inf,0.2,0.0,0.0,0.0874935639354423,0.2721972948326895
12,2016-12-01 12:00:00,inf,0.1,0.0,0.0,0.0432731829825491,0.6523738991972323
13,2016-12-01 13:00:00,inf,0.2,0.0,0.0,0.0908281719648883,0.46510663122529783
14,2016-12-01 14:00:00,inf,0.3,0.0,0.0,0.1042338179672063,0.6078342965904707
15,2016-12-01 15:00:00,inf,0.2,0.0,0.0,0.0528670585975163,0.8210174187186126
16,2016-12-01 16:00:00,inf,0.1,0.0,0.0,0.1479286121302904,0.3821789795062259
17,2016-12-01 17:00:00,inf,0.2,0.0,0.0,0.1480898460271706,0.7050216374647437
18,2016-12-01 18:00:00,inf,0.3,0.0,0.0,-0.0449020261266912,0.5341228599351031
19,2016-12-01 19:00:00,inf,0.2,0.0,0.0,0.063892855596637,0.4663126237808213
20,2016-12-01 20:00:00,inf,0.1,0.0,0.0,0.0825357834692355,0.35999536846884084
21,2016-12-01 21:00:00,inf,0.2,0.0,0.0,0.1004037188803408,0.21048349538529676
22,2016-12-01 22:00:00,inf,0.3,0.0,0.0,-0.0585250531735574,0.07744097607129796
23,2016-12-01 23:00:00,inf,0.2,0.0,0.0,0.126676626190068,0.9648285574560881
24,2016-12-02 00:00:00,inf,0.1,0.0,0.0,0.0261849636035598,0.8357933768197578
25,2016-12-02 01:00:00,inf,0.2,0.0,0.0,0.0390319414745825,0.019199001150437267
26,2016-12-02 02:00:00,inf,0.3,0.0,0.0,0.0772054158439664,0.03867323867112549
27,2016-12-02 03:00:00,inf,0.2,0.0,0.0,0.0380898603196497,0.30641897572561605
28,2016-12-02 04:00:00,inf,0.1,0.0,0.0,0.102959167568585,0.9784639845882466
29,2016-12-02 05:00:00,inf,0.5,0.0,0.0,0.0381807755122643,0.0868848261254036
30,2016-12-02 06:00:00,inf,20.0,0.0,0.0,0.0823463104519429,0.07459712553017206
31,2016-12-02 07:00:00,inf,0.1,0.0,0.0,0.1375651636882725,0.7003302232451222
32,2016-12-02 08:00:00,inf,0.1,0.0,0.0,0.1193129516582099,0.9613162670429835
33,2016-12-02 09:00:00,inf,0.1,0.0,0.0,0.1438033059140108,0.6159989376494165
34,2016-12-02 10:00:00,inf,0.1,0.0,0.0,0.0321735428854129,0.14199419005679026
35,2016-12-02 11:00:00,inf,0.1,0.0,0.0,0.1207943488388381,0.11761612310941294
36,2016-12-02 12:00:00,inf,0.1,0.0,0.0,0.0864378531814175,0.2555603077988743
37,2016-12-02 13:00:00,inf,0.1,0.0,0.0,0.0246465784736922,0.21886039372549404
38,2016-12-02 14:00:00,inf,0.1,0.0,0.0,0.1853935666939735,0.37489108677866856
39,2016-12-02 15:00:00,inf,0.1,0.0,0.0,0.0680506025505863,0.8913209202938134
40,2016-12-02 16:00:00,inf,0.1,0.0,0.0,0.1353891283945517,0.3174430847050078
41,2016-12-02 17:00:00,inf,0.1,0.0,0.0,0.1270498456139605,0.9669163048561848
