Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m,rainrate
0,2015-10-01 00:00:00,0,0.14927,0.290883,0
1,2015-10-01 01:00:00,0,0.149271,0.290837,0
2,2015-10-01 02:00:00,0,0.149272,0.290786,0
3,2015-10-01 03:00:00,0,0.149273,0.290729,0
4,2015-10-01 04:00:00,0,0.149273,0.290666,0
5,2015-10-01 05:00:00,0,0.149274,0.290606,0
6,2015-10-01 06:00:00,0,0.149275,0.29055,0
7,2015-10-01 07:00:00,0,0.149276,0.290495,0
8,2015-10-01 08:00:00,0,0.149277,0.290444,0
9,2015-10-01 09:00:00,0,0.149277,0.290395,0
10,2015-10-01 10:00:00,0,0.149278,0.290348,0
11,2015-10-01 11:00:00,0,0.149279,0.290302,0
12,2015-10-01 12:00:00,0,0.14928,0.290255,0
13,2015-10-01 13:00:00,0,0.14928,0.290195,0
14,2015-10-01 14:00:00,0,0.149281,0.290125,0
15,2015-10-01 15:00:00,0,0.149283,0.290044,0
16,2015-10-01 16:00:00,0,0.149284,0.289961,0
17,2015-10-01 17:00:00,0,0.149285,0.289878,0
18,2015-10-01 18:00:00,0,0.149286,0.289799,0
19,2015-10-01 19:00:00,0,0.149287,0.289731,0
20,2015-10-01 20:00:00,0,0.149288,0.289666,0
21,2015-10-01 21:00:00,0,0.149289,0.289611,0.000036
22,2015-10-01 22:00:00,0,0.149289,0.289632,0.000067
23,2015-10-01 23:00:00,0,0.149287,0.289711,0
24,2015-10-02 00:00:00,0,0.149288,0.289677,0.000032
25,2015-10-02 01:00:00,0,0.149288,0.289702,0.000329
26,2015-10-02 02:00:00,0,0.14928,0.290239,0.000021
27,2015-10-02 03:00:00,0,0.14928,0.290244,0
28,2015-10-02 04:00:00,0,0.14928,0.290214,0
29,2015-10-02 05:00:00,0,0.149281,0.290185,0
30,2015-10-02 06:00:00,0,0.149281,0.290156,0.000001
31,2015-10-02 07:00:00,0,0.149281,0.290129,0
32,2015-10-02 08:00:00,0,0.149282,0.2901,0
33,2015-10-02 09:00:00,0,0.149282,0.29007,0
34,2015-10-02 10:00:00,0,0.149283,0.29004,0
35,2015-10-02 11:00:00,0,0.149283,0.29001,0
36,2015-10-02 12:00:00,0,0.149284,0.289979,0
37,2015-10-02 13:00:00,0,0.149284,0.289943,0
38,2015-10-02 14:00:00,0,0.149285,0.289905,0.000062
39,2015-10-02 15:00:00,0,0.149284,0.289978,0.000275
40,2015-10-02 16:00:00,0,0.149277,0.290418,0.000176
41,2015-10-02 17:00:00,0,0.149273,0.290688,0.000117
42,2015-10-02 18:00:00,0,0.149271,0.290856,0.000218
43,2015-10-02 19:00:00,0,0.149265,0.291202,0.000413
44,2015-10-02 20:00:00,0,0.149255,0.291885,0.000177
45,2015-10-02 21:00:00,0,0.149251,0.292166,0.000085
46,2015-10-02 22:00:00,0,0.149249,0.292293,0.000234
47,2015-10-02 23:00:00,0,0.149243,0.292675,0.000079
48,2015-10-03 00:00:00,0,0.149241,0.292789,0.000029
49,2015-10-03 01:00:00,0,0.149241,0.292814,0
50,2015-10-03 02:00:00,0,0.149241,0.292789,0.000021
51,2015-10-03 03:00:00,0,0.149241,0.292801,0.000096
52,2015-10-03 04:00:00,0,0.149239,0.292942,0.000072
53,2015-10-03 05:00:00,0,0.149237,0.293045,0.000053
54,2015-10-03 06:00:00,0,0.149236,0.293116,0
55,2015-10-03 07:00:00,0,0.149237,0.293096,0
56,2015-10-03 08:00:00,0,0.149237,0.293077,0
57,2015-10-03 09:00:00,0,0.149237,0.293059,0
58,2015-10-03 10:00:00,0,0.149238,0.293041,0.000019
59,2015-10-03 11:00:00,0,0.149237,0.293055,0
60,2015-10-03 12:00:00,0,0.149238,0.293037,0
61,2015-10-03 13:00:00,0,0.149238,0.293015,0
62,2015-10-03 14:00:00,0,0.149238,0.292989,0
63,2015-10-03 15:00:00,0,0.149239,0.292959,0
64,2015-10-03 16:00:00,0,0.149239,0.292925,0
65,2015-10-03 17:00:00,0,0.14924,0.292887,0
66,2015-10-03 18:00:00,0,0.14924,0.292848,0
67,2015-10-03 19:00:00,0,0.149241,0.292807,0
68,2015-10-03 20:00:00,0,0.149242,0.292768,0
69,2015-10-03 21:00:00,0,0.149242,0.292732,0
70,2015-10-03 22:00:00,0,0.149243,0.2927,0
71,2015-10-03 23:00:00,0,0.149243,0.292672,0
72,2015-10-04 00:00:00,0,0.149244,0.292647,0
73,2015-10-04 01:00:00,0,0.149244,0.292627,0
74,2015-10-04 02:00:00,0,0.149244,0.292602,0
75,2015-10-04 03:00:00,0,0.149245,0.292574,0
76,2015-10-04 04:00:00,0,0.149245,0.292543,0
77,2015-10-04 05:00:00,0,0.149246,0.292515,0
78,2015-10-04 06:00:00,0,0.149246,0.292491,0
79,2015-10-04 07:00:00,0,0.149246,0.292469,0
80,2015-10-04 08:00:00,0,0.149247,0.292449,0
81,2015-10-04 09:00:00,0,0.149247,0.292429,0
82,2015-10-04 10:00:00,0,0.149247,0.292411,0
83,2015-10-04 11:00:00,0,0.149247,0.292391,0
84,2015-10-04 12:00:00,0,0.149248,0.29237,0
85,2015-10-04 13:00:00,0,0.149248,0.29233,0
86,2015-10-04 14:00:00,0,0.149249,0.29226,0
87,2015-10-04 15:00:00,0,0.149251,0.292163,0
88,2015-10-04 16:00:00,0,0.149253,0.292036,0
89,2015-10-04 17:00:00,0,0.149255,0.291897,0
90,2015-10-04 18:00:00,0,0.149257,0.291752,0
91,2015-10-04 19:00:00,0,0.149259,0.291613,0
92,2015-10-04 20:00:00,0,0.149261,0.291499,0
93,2015-10-04 21:00:00,0,0.149262,0.291413,0
94,2015-10-04 22:00:00,0,0.149263,0.291345,0
95,2015-10-04 23:00:00,0,0.149264,0.291292,0
96,2015-10-05 00:00:00,0,0.149265,0.291252,0
97,2015-10-05 01:00:00,0,0.149265,0.291228,0
98,2015-10-05 02:00:00,0,0.149265,0.291206,0
99,2015-10-05 03:00:00,0,0.149266,0.291186,0
100,2015-10-05 04:00:00,0,0.149266,0.291169,0
101,2015-10-05 05:00:00,0,0.149266,0.291155,0
102,2015-10-05 06:00:00,0,0.149266,0.291144,0
103,2015-10-05 07:00:00,0,0.149266,0.291134,0
104,2015-10-05 08:00:00,0,0.149267,0.291126,0
105,2015-10-05 09:00:00,0,0.149267,0.291119,0
106,2015-10-05 10:00:00,0,0.149267,0.291111,0
107,2015-10-05 11:00:00,0,0.149267,0.291103,0
108,2015-10-05 12:00:00,0,0.149267,0.291093,0
109,2015-10-05 13:00:00,0,0.149268,0.291062,0
110,2015-10-05 14:00:00,0,0.149268,0.291009,0
111,2015-10-05 15:00:00,0,0.14927,0.290931,0
112,2015-10-05 16:00:00,0,0.149271,0.290841,0
113,2015-10-05 17:00:00,0,0.149272,0.290743,0
114,2015-10-05 18:00:00,0,0.149274,0.290643,0
115,2015-10-05 19:00:00,0,0.149275,0.290552,0
116,2015-10-05 20:00:00,0,0.149276,0.290468,0
117,2015-10-05 21:00:00,0,0.149277,0.290406,0
118,2015-10-05 22:00:00,0,0.149278,0.290359,0
119,2015-10-05 23:00:00,0,0.149279,0.290323,0
120,2015-10-06 00:00:00,0,0.149279,0.290294,0
121,2015-10-06 01:00:00,0,0.149279,0.290276,0
122,2015-10-06 02:00:00,0,0.14928,0.290256,0
123,2015-10-06 03:00:00,0,0.14928,0.290234,0
124,2015-10-06 04:00:00,0,0.14928,0.290213,0
125,2015-10-06 05:00:00,0,0.14928,0.290193,0
126,2015-10-06 06:00:00,0,0.149281,0.290173,0
127,2015-10-06 07:00:00,0,0.149281,0.290155,0
128,2015-10-06 08:00:00,0,0.149281,0.290138,0
129,2015-10-06 09:00:00,0,0.149282,0.29012,0
130,2015-10-06 10:00:00,0,0.149282,0.290103,0
131,2015-10-06 11:00:00,0,0.149282,0.29009,0
132,2015-10-06 12:00:00,0,0.149282,0.290082,0
133,2015-10-06 13:00:00,0,0.149283,0.290051,0
134,2015-10-06 14:00:00,0,0.149283,0.290003,0
135,2015-10-06 15:00:00,0,0.149284,0.289939,0
136,2015-10-06 16:00:00,0,0.149285,0.289856,0
137,2015-10-06 17:00:00,0,0.149287,0.289758,0
138,2015-10-06 18:00:00,0,0.149288,0.289654,0
139,2015-10-06 19:00:00,0,0.14929,0.289556,0
140,2015-10-06 20:00:00,0,0.149291,0.289491,0
141,2015-10-06 21:00:00,0,0.149291,0.289464,0
142,2015-10-06 22:00:00,0,0.149291,0.289444,0
143,2015-10-06 23:00:00,0,0.149292,0.289427,0
144,2015-10-07 00:00:00,0,0.149292,0.289411,0
145,2015-10-07 01:00:00,0,0.149292,0.289381,0
146,2015-10-07 02:00:00,0,0.149293,0.289353,0
147,2015-10-07 03:00:00,0,0.149293,0.289324,0
148,2015-10-07 04:00:00,0,0.149294,0.289294,0
149,2015-10-07 05:00:00,0,0.149294,0.289268,0
150,2015-10-07 06:00:00,0,0.149294,0.289243,0
151,2015-10-07 07:00:00,0,0.149295,0.289219,0
152,2015-10-07 08:00:00,0,0.149295,0.289196,0
153,2015-10-07 09:00:00,0,0.149295,0.289175,0
154,2015-10-07 10:00:00,0,0.149296,0.289155,0
155,2015-10-07 11:00:00,0,0.149296,0.28914,0
156,2015-10-07 12:00:00,0,0.149296,0.289127,0
157,2015-10-07 13:00:00,0,0.149297,0.289089,0
158,2015-10-07 14:00:00,0,0.149297,0.289031,0
159,2015-10-07 15:00:00,0,0.149298,0.288953,0
160,2015-10-07 16:00:00,0,0.1493,0.288851,0
161,2015-10-07 17:00:00,0,0.149302,0.288722,0
162,2015-10-07 18:00:00,0,0.149304,0.28858,0
163,2015-10-07 19:00:00,0,0.149306,0.288441,0
164,2015-10-07 20:00:00,0,0.149307,0.28833,0
165,2015-10-07 21:00:00,0,0.149308,0.288255,0
166,2015-10-07 22:00:00,0,0.149309,0.288197,0
167,2015-10-07 23:00:00,0,0.14931,0.288145,0
168,2015-10-08 00:00:00,0,0.149311,0.288099,0
169,2015-10-08 01:00:00,0,0.149311,0.28806,0
170,2015-10-08 02:00:00,0,0.149312,0.288025,0
171,2015-10-08 03:00:00,0,0.149312,0.287993,0
172,2015-10-08 04:00:00,0,0.149313,0.28796,0
173,2015-10-08 05:00:00,0,0.149313,0.28793,0
174,2015-10-08 06:00:00,0,0.149313,0.287901,0
175,2015-10-08 07:00:00,0,0.149314,0.287874,0
176,2015-10-08 08:00:00,0,0.149314,0.287847,0
177,2015-10-08 09:00:00,0,0.149315,0.28782,0
178,2015-10-08 10:00:00,0,0.149315,0.287793,0
179,2015-10-08 11:00:00,0,0.149315,0.28777,0
180,2015-10-08 12:00:00,0,0.149316,0.287749,0
181,2015-10-08 13:00:00,0,0.149316,0.287709,0
