Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m,sm_profile_0.4m,sm_profile_1m,sm_profile_2m,rainmelt
0,2020-01-01 00:00:00,0.000000000,0.194458040,0.211643601,0.214009065,0.219175223,0.229429116,0.000000000
1,2020-01-01 01:00:00,0.000000000,0.194464460,0.211590427,0.213952823,0.219111785,0.229349213,0.000000000
2,2020-01-01 02:00:00,0.000000000,0.194469446,0.211549089,0.213909102,0.219062476,0.229287123,0.000000000
3,2020-01-01 03:00:00,0.000000000,0.194474115,0.211510341,0.213868122,0.219016263,0.229228944,0.000000000
4,2020-01-01 04:00:00,0.000000000,0.194478090,0.211477339,0.213833220,0.218976909,0.229179410,0.000000000
5,2020-01-01 05:00:00,0.000000000,0.194481605,0.211448128,0.213802328,0.218942078,0.229135577,0.000000000
6,2020-01-01 06:00:00,0.000000000,0.194485334,0.211417127,0.213769546,0.218905119,0.229089073,0.000000000
7,2020-01-01 07:00:00,0.000000000,0.194488753,0.211388690,0.213739475,0.218871219,0.229046425,0.000000000
8,2020-01-01 08:00:00,0.000000000,0.194492077,0.211361024,0.213710221,0.218838242,0.229004945,0.000000000
9,2020-01-01 09:00:00,0.000000000,0.194495488,0.211332616,0.213680182,0.218804384,0.228962363,0.000000000
10,2020-01-01 10:00:00,0.000000000,0.194498832,0.211304752,0.213650720,0.218771177,0.228920607,0.000000000
11,2020-01-01 11:00:00,0.000000000,0.194501892,0.211279242,0.213623747,0.218740778,0.228882388,0.000000000
12,2020-01-01 12:00:00,0.000000000,0.194504964,0.211253612,0.213596648,0.218710240,0.228843998,0.000000000
13,2020-01-01 13:00:00,0.000000000,0.194509089,0.211219188,0.213560254,0.218669229,0.228792452,0.000000000
14,2020-01-01 14:00:00,0.000000000,0.194514476,0.211174184,0.213512675,0.218615619,0.228725086,0.000000000
15,2020-01-01 15:00:00,0.000000000,0.194521288,0.211117226,0.213452460,0.218547782,0.228639865,0.000000000
16,2020-01-01 16:00:00,0.000000000,0.194529114,0.211051712,0.213383207,0.218469773,0.228541900,0.000000000
17,2020-01-01 17:00:00,0.000000000,0.194537801,0.210978888,0.213306232,0.218383081,0.228433071,0.000000000
18,2020-01-01 18:00:00,0.000000000,0.194548160,0.210891904,0.213214296,0.218279561,0.228303175,0.000000000
19,2020-01-01 19:00:00,0.000000000,0.194559254,0.210798585,0.213115676,0.218168539,0.228163933,0.000000000
20,2020-01-01 20:00:00,0.000000000,0.194570449,0.210704244,0.213015985,0.218056338,0.228023287,0.000000000
21,2020-01-01 21:00:00,0.000000000,0.194575808,0.210659019,0.212968200,0.218002565,0.227955906,0.000000000
22,2020-01-01 22:00:00,0.000000000,0.194580397,0.210620258,0.212927246,0.217956485,0.227898178,0.000000000
23,2020-01-01 23:00:00,0.000000000,0.194584439,0.210586091,0.212891147,0.217915871,0.227847308,0.000000000
24,2020-01-02 00:00:00,0.000000000,0.194588042,0.210555621,0.212858955,0.217879655,0.227801956,0.000000000
25,2020-01-02 01:00:00,0.000000000,0.194591328,0.210527814,0.212829578,0.217846609,0.227760579,0.000000000
26,2020-01-02 02:00:00,0.000000000,0.194594256,0.210503019,0.212803384,0.217817146,0.227723693,0.000000000
27,2020-01-02 03:00:00,0.000000000,0.194596980,0.210479945,0.212779008,0.217789728,0.227689373,0.000000000
28,2020-01-02 04:00:00,0.000000000,0.194599037,0.210462511,0.212760591,0.217769015,0.227663448,0.000000000
29,2020-01-02 05:00:00,0.000000000,0.194601448,0.210442076,0.212739004,0.217744737,0.227633065,0.000000000
30,2020-01-02 06:00:00,0.000000000,0.194603595,0.210423866,0.212719768,0.217723104,0.227605994,0.000000000
31,2020-01-02 07:00:00,0.000000000,0.194605216,0.210410114,0.212705242,0.217706769,0.227585554,0.000000000
32,2020-01-02 08:00:00,0.000000000,0.194607160,0.210393611,0.212687809,0.217687166,0.227561028,0.000000000
33,2020-01-02 09:00:00,0.000000000,0.194609129,0.210376901,0.212670159,0.217667318,0.227536198,0.000000000
34,2020-01-02 10:00:00,0.000000000,0.194609129,0.210376901,0.212670159,0.217667318,0.227536198,0.000000000
35,2020-01-02 11:00:00,0.000000000,0.194609129,0.210376901,0.212670159,0.217667318,0.227536198,0.000000000
36,2020-01-02 12:00:00,0.000000000,0.194609129,0.210376901,0.212670159,0.217667318,0.227536198,0.000000000
37,2020-01-02 13:00:00,0.000000000,0.194609129,0.210376901,0.212670159,0.217667318,0.227536198,0.000000000
38,2020-01-02 14:00:00,0.000000000,0.194609129,0.210376901,0.212670159,0.217667318,0.227536198,0.000000000
39,2020-01-02 15:00:00,0.000000000,0.194615836,0.210319917,0.212609970,0.217599644,0.227451552,0.000000000
40,2020-01-02 16:00:00,0.000000000,0.194625427,0.210238331,0.212523802,0.217502776,0.227330437,0.000000000
41,2020-01-02 17:00:00,0.000000000,0.194637536,0.210135124,0.212414809,0.217380277,0.227177351,0.000000000
42,2020-01-02 18:00:00,0.000000000,0.194651674,0.210014368,0.212287298,0.217237005,0.226998414,0.000000000
43,2020-01-02 19:00:00,0.000000000,0.194667439,0.209879361,0.212144760,0.217076899,0.226798588,0.000000000
44,2020-01-02 20:00:00,0.000000000,0.194681457,0.209759013,0.212017715,0.216934240,0.226620660,0.000000000
45,2020-01-02 21:00:00,0.000000000,0.194686696,0.209713955,0.211970153,0.216880844,0.226554093,0.000000000
46,2020-01-02 22:00:00,0.000000000,0.194691247,0.209674791,0.211928815,0.216834439,0.226496254,0.000000000
47,2020-01-02 23:00:00,0.000000000,0.194695031,0.209642197,0.211894414,0.216795825,0.226448135,0.000000000
48,2020-01-03 00:00:00,0.000000000,0.194697798,0.209618356,0.211869251,0.216767583,0.226412946,0.000000000
49,2020-01-03 01:00:00,0.000000000,0.194699325,0.209605194,0.211855360,0.216751992,0.226393523,0.000000000
50,2020-01-03 02:00:00,0.000000000,0.194700715,0.209593205,0.211842707,0.216737792,0.226375832,0.000000000
51,2020-01-03 03:00:00,0.000000000,0.194700904,0.209591575,0.211840986,0.216735861,0.226373427,0.000000000
52,2020-01-03 04:00:00,0.000000000,0.194701224,0.209588817,0.211838076,0.216732594,0.226369358,0.000000000
53,2020-01-03 05:00:00,0.000000000,0.194701679,0.209584891,0.211833932,0.216727944,0.226363565,0.000000000
54,2020-01-03 06:00:00,0.000000000,0.194702458,0.209578171,0.211826840,0.216719985,0.226353650,0.000000000
55,2020-01-03 07:00:00,0.000000000,0.194702775,0.209575435,0.211823953,0.216716745,0.226349615,0.000000000
56,2020-01-03 08:00:00,0.000000000,0.194703252,0.209571324,0.211819614,0.216711876,0.226343550,0.000000000
57,2020-01-03 09:00:00,0.000000000,0.194703964,0.209565176,0.211813126,0.216704595,0.226334481,0.000000000
58,2020-01-03 10:00:00,0.000000000,0.194705117,0.209555229,0.211802629,0.216692815,0.226319809,0.005223052
59,2020-01-03 11:00:00,0.000000000,0.194705989,0.209547700,0.211794683,0.216683898,0.226308703,0.000000000
60,2020-01-03 12:00:00,0.000000000,0.194707224,0.209537041,0.211783433,0.216671275,0.226292982,0.000000000
61,2020-01-03 13:00:00,0.000000000,0.194709677,0.209515858,0.211761079,0.216646191,0.226261746,0.000000000
62,2020-01-03 14:00:00,0.000000000,0.194712784,0.209489013,0.211732749,0.216614404,0.226222168,0.000000000
63,2020-01-03 15:00:00,0.000000000,0.194716447,0.209457351,0.211699338,0.216576919,0.226175501,0.000000000
64,2020-01-03 16:00:00,0.000000000,0.194720274,0.209424247,0.211664406,0.216537729,0.226126721,0.000000000
65,2020-01-03 17:00:00,0.000000000,0.194724576,0.209387006,0.211625110,0.216493648,0.226071863,0.000000000
66,2020-01-03 18:00:00,0.000000000,0.194728659,0.209351633,0.211587787,0.216451784,0.226019774,0.000000000
67,2020-01-03 19:00:00,0.000000000,0.194734393,0.209301923,0.211535338,0.216392960,0.225946598,0.000000000
68,2020-01-03 20:00:00,0.000000000,0.194742368,0.209232703,0.211462309,0.216311066,0.225844757,0.000000000
