Time Step,Time,precip_scf,SWE_mm,snowh,raim,sm_frac_0_4m
0,2016-12-01 00:00:00,inf,0.1,0.0,0.0,0.24516924706287568
1,2016-12-01 01:00:00,inf,0.2,0.0,0.0,0.32894945579944324
2,2016-12-01 02:00:00,inf,0.3,0.0,0.0,0.8366346864759588
3,2016-12-01 03:00:00,inf,0.2,0.0,0.0,0.7283447257397968
4,2016-12-01 04:00:00,inf,0.1,0.0,0.0,0.2708946794052256
5,2016-12-01 05:00:00,inf,0.5,0.0,0.0,0.2112301135203326
6,2016-12-01 06:00:00,inf,95.0,0.0,0.0,0.4977188322301318
7,2016-12-01 07:00:00,inf,0.2,0.0,0.0,0.9445093581499101
8,2016-12-01 08:00:00,inf,0.1,0.0,0.0,0.6831702049294495
9,2016-12-01 09:00:00,inf,0.2,0.0,0.0,0.0627891541165071
10,2016-12-01 10:00:00,inf,0.3,0.0,0.0,0.43661676679214334
11,2016-12-01 11:00:00,inf,0.2,0.0,0.0,0.47012965634297477
12,2016-12-01 12:00:00,inf,0.1,0.0,0.0,0.6229585724006149
13,2016-12-01 13:00:00,inf,0.2,0.0,0.0,0.7997848661919726
14,2016-12-01 14:00:00,inf,0.3,0.0,0.0,0.19453335277820416
15,2016-12-01 15:00:00,inf,0.2,0.0,0.0,0.6148082103255548
16,2016-12-01 16:00:00,inf,0.1,0.0,0.0,0.7127554290718247
17,2016-12-01 17:00:00,inf,0.2,0.0,0.0,0.7652236020982441
18,2016-12-01 18:00:00,inf,0.3,0.0,0.0,0.9748421089409103
19,2016-12-01 19:00:00,inf,0.2,0.0,0.0,0.4590282045446863
20,2016-12-01 20:00:00,inf,0.1,0.0,0.0,0.4544503603967529
21,2016-12-01 21:00:00,inf,0.2,0.0,0.0,0.24733930897097867
22,2016-12-01 22:00:00,inf,0.3,0.0,0.0,0.8685358123681857
23,2016-12-01 23:00:00,inf,0.2,0.0,0.0,0.3065928392219246
24,2016-12-02 00:00:00,inf,0.1,0.0,0.0,0.3524428264607188
25,2016-12-02 01:00:00,inf,0.2,0.0,0.0,0.5599786946348887
26,2016-12-02 02:00:00,inf,0.3,0.0,0.0,0.26847555522425326
27,2016-12-02 03:00:00,inf,0.2,0.0,0.0,0.3628249974969321
28,2016-12-02 04:00:00,inf,0.1,0.0,0.0,0.16132494333362113
29,2016-12-02 05:00:00,inf,0.5,0.0,0.0,0.8722868519588286
30,2016-12-02 06:00:00,inf,20.0,0.0,0.0,0.15224467997188285
31,2016-12-02 07:00:00,inf,0.1,0.0,0.0,0.9036064641445616
32,2016-12-02 08:00:00,inf,0.1,0.0,0.0,0.2811164038487409
33,2016-12-02 09:00:00,inf,0.1,0.0,0.0,0.30784163843498313
34,2016-12-02 10:00:00,inf,0.1,0.0,0.0,0.7183217173082991
35,2016-12-02 11:00:00,inf,0.1,0.0,0.0,0.14707051963476425
36,2016-12-02 12:00:00,inf,0.1,0.0,0.0,0.6337918970057617
37,2016-12-02 13:00:00,inf,0.1,0.0,0.0,0.01555220128822199
38,2016-12-02 14:00:00,inf,0.1,0.0,0.0,0.8391100158261315
39,2016-12-02 15:00:00,inf,0.1,0.0,0.0,0.4060685107080192
40,2016-12-02 16:00:00,inf,0.1,0.0,0.0,0.8264510803488562
41,2016-12-02 17:00:00,inf,0.1,0.0,0.0,0.7243327655978187
